level_one_category_name,super_category
手表,珠宝钟表奢品
珠宝/钻石/翡翠,珠宝钟表奢品
饰品/流行首饰/时尚饰品新,珠宝钟表奢品
黄金,珠宝钟表奢品
OTC药品/国际医药,医药保健计生
体检/医疗保障卡,医药保健计生
保健用品,医药保健计生
医疗器械,医药保健计生
成人用品/情趣用品,医药保健计生
计生用品,医药保健计生
书籍/杂志/报纸,文教办公与图书
办公设备/耗材/相关服务,文教办公与图书
商务/设计服务,文教办公与图书
文具电教/文化用品/商务用品,文教办公与图书
音乐/影视/明星/音像,文教办公与图书
乐器/吉他/钢琴/配件,玩乐兴趣文创礼品
文玩/邮币/字画/收藏,玩乐兴趣文创礼品
模玩/动漫/周边/娃圈三坑/桌游,玩乐兴趣文创礼品
游戏服务,玩乐兴趣文创礼品
特色手工艺,玩乐兴趣文创礼品
玩具/童车/益智/积木/模型,玩乐兴趣文创礼品
电玩/配件/游戏/攻略,玩乐兴趣文创礼品
网络游戏点卡,玩乐兴趣文创礼品
节庆用品/礼品,玩乐兴趣文创礼品
3C数码配件,数码电子
MP3/MP4/iPod/录音笔,数码电子
品牌台机/品牌一体机/服务器,数码电子
影音电器,数码电子
手机,数码电子
数码相机/单反相机/摄像机,数码电子
智能设备,数码电子
电子元器件市场,数码电子
电脑硬件/显示器/电脑周边,数码电子
笔记本电脑,数码电子
网络设备/网络相关,数码电子
闪存卡/U盘/存储/移动硬盘,数码电子
家庭/个人清洁工具,收纳日用
居家日用,收纳日用
收纳整理,收纳日用
洗护清洁剂/卫生巾/纸/香薰,收纳日用
纺织面料/辅料/配套,收纳日用
传统滋补营养品,食品饮料
保健食品/膳食营养补充食品,食品饮料
咖啡/麦片/冲饮,食品饮料
水产肉类/新鲜蔬果/熟食,食品饮料
粮油调味/速食/干货/烘焙,食品饮料
茶,食品饮料
酒类,食品饮料
零食/坚果/特产,食品饮料
摩托车/装备/配件,汽车摩托出行
汽车用品/电子/清洗/改装,汽车摩托出行
汽车零部件/养护/美容/维保,汽车摩托出行
其他,其他
农机/农具/农膜,农牧园艺农机
农用物资,农牧园艺农机
畜牧/养殖物资,农牧园艺农机
奶粉/辅食/营养品/零食,母婴亲子
婴童尿裤,母婴亲子
婴童用品,母婴亲子
孕妇装/孕产妇用品/营养,母婴亲子
童装/婴儿装/亲子装,母婴亲子
个人护理/保健/按摩器材,美妆个护
彩妆/香水/美妆工具,美妆个护
美发护发/假发,美妆个护
美容护肤/美体/精油,美妆个护
美容美体仪器,美妆个护
隐形眼镜/护理液,美妆个护
度假线路/签证送关/旅游服务,其他
机票/小交通/增值服务,其他
特价酒店/特色客栈/公寓旅馆,其他
五金/工具,家装建材工业五金
包装,家装建材工业五金
基础建材,家装建材工业五金
家装主材,家装建材工业五金
家装灯饰光源,家装建材工业五金
工业油品/胶粘/化学/实验室用品,家装建材工业五金
搬运/仓储/物流设备,家装建材工业五金
标准件/零部件/工业耗材,家装建材工业五金
橡塑材料及制品,家装建材工业五金
电子/电工,家装建材工业五金
金属材料及制品,家装建材工业五金
住宅家具,家具
全屋定制,家具
商业/办公家具,家具
家居饰品,家纺软装
居家布艺,家纺软装
床上用品,家纺软装
厨房/烹饪用具,家电厨具
厨房电器,家电厨具
大家电,家电厨具
生活电器,家电厨具
餐饮具,家电厨具
鲜花速递/花卉仿真/绿植园艺,花园绿植
户外/登山/野营/旅行用品,户外运动装备交通
电动车/配件/交通工具,户外运动装备交通
自行车/骑行装备/零配件,户外运动装备交通
运动/瑜伽/健身/球迷用品,户外运动装备交通
运动包/户外包/配件,户外运动装备交通
ZIPPO/瑞士军刀/眼镜,服饰鞋包
女士内衣/男士内衣/家居服,服饰鞋包
女装/女士精品,服饰鞋包
女鞋,服饰鞋包
服饰配件/皮带/帽子/围巾,服饰鞋包
流行男鞋,服饰鞋包
男装,服饰鞋包
童鞋/婴儿鞋/亲子鞋,服饰鞋包
箱包皮具/热销女包/男包,服饰鞋包
运动服/休闲服装,服饰鞋包
运动鞋new,服饰鞋包
宠物/宠物食品及用品,宠物用品
个性定制/设计服务/DIY,本地生活票券充值
手机号码/套餐/增值业务,本地生活票券充值
教育培训,本地生活票券充值
数字生活,本地生活票券充值
本地化生活服务,本地生活票券充值
电影/演出/体育赛事,本地生活票券充值
移动/联通/电信充值中心,本地生活票券充值
购物提货券,本地生活票券充值
餐饮美食卡券,本地生活票券充值
