id,material_id,ori_title,creative_id_image,creative_id_brand,creative_id_price,creative_id_promotion,level_one_category_name,is_white_image
328712,"689,512",若华珠宝青花 赞比亚祖母绿宝石手链女18K金彩宝手串串珠手饰礼物,https://img.alicdn.com/bao/uploaded/O1CN01kNYySc1XnquzfgEq2_!!6000000002969-0-yinhe.jpg,若华（饰品）,2541,官方8.5折,珠宝/钻石/翡翠,1
1561069,102386,马克华菲2025年新款小龙女时尚手表小款绿表时来运转送女友小金表,https://img.alicdn.com/bao/uploaded/i3/2201227987016/O1CN01OnTwgi21hNmLOYjLT_!!2-item_pic.png,Mark Fairwhale/马克华菲,99,满1200减1101,手表,1
1562797,102386,[国家补贴20%]联想拯救者Y7000P 酷睿Ultra7 255HX RTX5060 AI高静游戏本电竞笔记本电脑 联想学生笔记本电脑,https://img.alicdn.com/bao/uploaded/O1CN01PmAr4G1hzRB2R1WLw_!!6000000004348-0-yinhe.jpg,联想官方旗舰店,9999,,笔记本电脑,1
13862,110046,Sony/索尼ZV-E10L 半画幅微单相机 Vlog相机 美肤拍照,https://img.alicdn.com/bao/uploaded/O1CN0183leLI1eN10jRVhMd_!!6000000003858-0-yinhe.jpg,Sony/索尼,4433,,数码相机/单反相机/摄像机,1
75801,null,2支配袋 粉湖咖啡无醇起泡葡萄汁750ml 正品 澳洲无酒精健康畅饮,https://img.alicdn.com/bao/uploaded/O1CN01BePzy31KYeoCSiu2i_!!6000000001176-0-yinhe.jpg,优酒网,198.3,满72.01减72,酒类,1
103728,"1,002",骆驼运动速干短裤女士2025夏季薄款冰丝宽松透气跑步休闲五分裤男,https://img.alicdn.com/bao/uploaded/O1CN01VzViLE1pIr0XZ9ePV_!!6000000005338-0-yinhe.jpg,Camel/骆驼,82,满25减10,运动服/休闲服装,1
104207,6,361运动t恤男士2025夏季新款宽松纯棉休闲运动短袖男装透气上衣男,https://img.alicdn.com/bao/uploaded/O1CN01SjLnor1R3hJHd1iqd_!!6000000002056-0-yinhe.jpg,361°,41.8,补贴27.2元,运动服/休闲服装,1
107936,null,[线上天猫专享]MaisonMargiela马吉拉饼干帆布鞋男女款休闲单鞋,https://img.alicdn.com/bao/uploaded/O1CN014LIV0N1lhLgnmXeC2_!!6000000004850-0-yinhe.jpg,Maison Margiela,4676,1件7折,女鞋,1
141950,null,HOII/后益张钧甯明星同款防晒帽伸缩遮阳太阳帽大帽檐空顶夏季女,https://img.alicdn.com/bao/uploaded/O1CN01767po51W3Io9NvaHA_!!6000000002732-0-yinhe.jpg,HOII/后益,693,满800减79,服饰配件/皮带/帽子/围巾,1
1553126,104460,疯狂小狗狗罐头营养湿粮拌饭主食罐柯基泰迪成犬幼犬狗零食,https://img.alicdn.com/bao/uploaded/O1CN01LYKXk71qLtQCU2mFL_!!6000000005480-2-yinhe.png,疯狂小狗,59.9,,宠物/宠物食品及用品,1
